"","site_no","Date","parameter","value"
"1","05427880",2017-08-01,"Flow",17.8
"2","05427880",2017-08-02,"Flow",16.8
"3","05427880",2017-08-03,"Flow",16.4
"4","05427880",2017-08-04,"Flow",16.6
"5","05427880",2017-08-05,"Flow",16.1
"6","05427880",2017-08-06,"Flow",15.8
"7","05427880",2017-08-07,"Flow",15.6
"8","05427880",2017-08-08,"Flow",15.1
"9","05427880",2017-08-09,"Flow",14.7
"10","05427880",2017-08-10,"Flow",14.3
"11","05427880",2017-08-11,"Flow",14.1
"12","05427880",2017-08-12,"Flow",13.6
"13","05427880",2017-08-13,"Flow",13.1
"14","05427880",2017-08-14,"Flow",12.7
"15","05427880",2017-08-15,"Flow",12.2
"16","05427880",2017-08-16,"Flow",12.5
"17","05427880",2017-08-17,"Flow",15.1
"18","05427880",2017-08-18,"Flow",14.5
"19","05427880",2017-08-19,"Flow",14.6
"20","05427880",2017-08-20,"Flow",14.2
"21","05427880",2017-08-21,"Flow",13.5
"22","05427880",2017-08-22,"Flow",12.8
"23","05427880",2017-08-23,"Flow",12
"24","05427880",2017-08-24,"Flow",11.3
"25","05427880",2017-08-25,"Flow",10.7
"26","05427880",2017-08-26,"Flow",10.2
"27","05427880",2017-08-27,"Flow",10.1
"28","05427880",2017-08-28,"Flow",10.1
"29","05427880",2017-08-29,"Flow",9.93
"30","05427880",2017-08-30,"Flow",9.96
"31","05427880",2017-08-31,"Flow",10.7
"32","05427927",2017-08-01,"Flow",4.52
"33","05427927",2017-08-02,"Flow",4.58
"34","05427927",2017-08-03,"Flow",4.88
"35","05427927",2017-08-04,"Flow",5.3
"36","05427927",2017-08-05,"Flow",5.27
"37","05427927",2017-08-06,"Flow",5.14
"38","05427927",2017-08-07,"Flow",5.19
"39","05427927",2017-08-08,"Flow",5.06
"40","05427927",2017-08-09,"Flow",5.27
"41","05427927",2017-08-10,"Flow",5.3
"42","05427927",2017-08-11,"Flow",5.85
"43","05427927",2017-08-12,"Flow",5.69
"44","05427927",2017-08-13,"Flow",5.48
"45","05427927",2017-08-14,"Flow",5.52
"46","05427927",2017-08-15,"Flow",5.58
"47","05427927",2017-08-16,"Flow",6.25
"48","05427927",2017-08-17,"Flow",10.3
"49","05427927",2017-08-18,"Flow",8.65
"50","05427927",2017-08-19,"Flow",7.4
"51","05427927",2017-08-20,"Flow",6.8
"52","05427927",2017-08-21,"Flow",6.66
"53","05427927",2017-08-22,"Flow",6.66
"54","05427927",2017-08-23,"Flow",6.43
"55","05427927",2017-08-24,"Flow",6.33
"56","05427927",2017-08-25,"Flow",6.23
"57","05427927",2017-08-26,"Flow",6.25
"58","05427927",2017-08-27,"Flow",7.02
"59","05427927",2017-08-28,"Flow",7.51
"60","05427927",2017-08-29,"Flow",7.19
"61","05427927",2017-08-30,"Flow",7.04
"62","05427927",2017-08-31,"Flow",7.8
"63","05430175",2017-08-01,"Flow",787
"64","05430175",2017-08-02,"Flow",778
"65","05430175",2017-08-03,"Flow",781
"66","05430175",2017-08-04,"Flow",795
"67","05430175",2017-08-05,"Flow",772
"68","05430175",2017-08-06,"Flow",742
"69","05430175",2017-08-07,"Flow",867
"70","05430175",2017-08-08,"Flow",771
"71","05430175",2017-08-09,"Flow",707
"72","05430175",2017-08-10,"Flow",699
"73","05430175",2017-08-11,"Flow",696
"74","05430175",2017-08-12,"Flow",661
"75","05430175",2017-08-13,"Flow",631
"76","05430175",2017-08-14,"Flow",610
"77","05430175",2017-08-15,"Flow",597
"78","05430175",2017-08-16,"Flow",635
"79","05430175",2017-08-17,"Flow",794
"80","05430175",2017-08-18,"Flow",722
"81","05430175",2017-08-19,"Flow",681
"82","05430175",2017-08-20,"Flow",631
"83","05430175",2017-08-21,"Flow",632
"84","05430175",2017-08-22,"Flow",634
"85","05430175",2017-08-23,"Flow",631
"86","05430175",2017-08-24,"Flow",625
"87","05430175",2017-08-25,"Flow",620
"88","05430175",2017-08-26,"Flow",614
"89","05430175",2017-08-27,"Flow",648
"90","05430175",2017-08-28,"Flow",656
"91","05430175",2017-08-29,"Flow",637
"92","05430175",2017-08-30,"Flow",604
"93","05430175",2017-08-31,"Flow",609
"94","05427880",2017-08-01,"TSS",4.7
"95","05427880",2017-08-02,"TSS",3.3
"96","05427880",2017-08-03,"TSS",2.1
"97","05427880",2017-08-04,"TSS",2
"98","05427880",2017-08-05,"TSS",2
"99","05427880",2017-08-06,"TSS",2
"100","05427880",2017-08-07,"TSS",2
"101","05427880",2017-08-08,"TSS",2
"102","05427880",2017-08-09,"TSS",2
"103","05427880",2017-08-10,"TSS",2
"104","05427880",2017-08-11,"TSS",2
"105","05427880",2017-08-12,"TSS",2
"106","05427880",2017-08-13,"TSS",2
"107","05427880",2017-08-14,"TSS",2
"108","05427880",2017-08-15,"TSS",2
"109","05427880",2017-08-16,"TSS",2.1
"110","05427880",2017-08-17,"TSS",2.2
"111","05427880",2017-08-18,"TSS",2.2
"112","05427880",2017-08-19,"TSS",2.3
"113","05427880",2017-08-20,"TSS",2.4
"114","05427880",2017-08-21,"TSS",2.4
"115","05427880",2017-08-22,"TSS",2.5
"116","05427880",2017-08-23,"TSS",2.6
"117","05427880",2017-08-24,"TSS",2.6
"118","05427880",2017-08-25,"TSS",2.7
"119","05427880",2017-08-26,"TSS",2.8
"120","05427880",2017-08-27,"TSS",2.8
"121","05427880",2017-08-28,"TSS",2.9
"122","05427880",2017-08-29,"TSS",3
"123","05427880",2017-08-30,"TSS",3
"124","05427880",2017-08-31,"TSS",3.1
"125","05427927",2017-08-01,"TSS",3.4
"126","05427927",2017-08-02,"TSS",3.4
"127","05427927",2017-08-03,"TSS",3.5
"128","05427927",2017-08-04,"TSS",3.6
"129","05427927",2017-08-05,"TSS",3.6
"130","05427927",2017-08-06,"TSS",3.7
"131","05427927",2017-08-07,"TSS",3.7
"132","05427927",2017-08-08,"TSS",3.8
"133","05427927",2017-08-09,"TSS",3.9
"134","05427927",2017-08-10,"TSS",3.9
"135","05427927",2017-08-11,"TSS",4
"136","05427927",2017-08-12,"TSS",4.4
"137","05427927",2017-08-13,"TSS",5
"138","05427927",2017-08-14,"TSS",5.5
"139","05427927",2017-08-15,"TSS",6
"140","05427927",2017-08-16,"TSS",6.2
"141","05427927",2017-08-17,"TSS",6.4
"142","05427927",2017-08-18,"TSS",6.6
"143","05427927",2017-08-19,"TSS",6.9
"144","05427927",2017-08-20,"TSS",7.1
"145","05427927",2017-08-21,"TSS",7.3
"146","05427927",2017-08-22,"TSS",7.5
"147","05427927",2017-08-23,"TSS",7.7
"148","05427927",2017-08-24,"TSS",7.9
"149","05427927",2017-08-25,"TSS",8.1
"150","05427927",2017-08-26,"TSS",8.3
"151","05427927",2017-08-27,"TSS",8.5
"152","05427927",2017-08-28,"TSS",8.7
"153","05427927",2017-08-29,"TSS",8.9
"154","05427927",2017-08-30,"TSS",9.1
"155","05427927",2017-08-31,"TSS",9.3
"156","05430175",2017-08-01,"TSS",21.7
"157","05430175",2017-08-02,"TSS",21.3
"158","05430175",2017-08-03,"TSS",21
"159","05430175",2017-08-04,"TSS",20.7
"160","05430175",2017-08-05,"TSS",20.4
"161","05430175",2017-08-06,"TSS",20.4
"162","05430175",2017-08-07,"TSS",25.9
"163","05430175",2017-08-08,"TSS",21.9
"164","05430175",2017-08-09,"TSS",20.5
"165","05430175",2017-08-10,"TSS",19
"166","05430175",2017-08-11,"TSS",17.6
"167","05430175",2017-08-12,"TSS",16.7
"168","05430175",2017-08-13,"TSS",16.3
"169","05430175",2017-08-14,"TSS",15.9
"170","05430175",2017-08-15,"TSS",15.5
"171","05430175",2017-08-16,"TSS",16.9
"172","05430175",2017-08-17,"TSS",24.8
"173","05430175",2017-08-18,"TSS",22.4
"174","05430175",2017-08-19,"TSS",20
"175","05430175",2017-08-20,"TSS",17.5
"176","05430175",2017-08-21,"TSS",15.3
"177","05430175",2017-08-22,"TSS",14.8
"178","05430175",2017-08-23,"TSS",14.5
"179","05430175",2017-08-24,"TSS",14.3
"180","05430175",2017-08-25,"TSS",14
"181","05430175",2017-08-26,"TSS",13.8
"182","05430175",2017-08-27,"TSS",13.5
"183","05430175",2017-08-28,"TSS",13.3
"184","05430175",2017-08-29,"TSS",13
"185","05430175",2017-08-30,"TSS",12.8
"186","05430175",2017-08-31,"TSS",12.5
"187","05427880",2017-08-01,"InorganicN",0.432
"188","05427880",2017-08-02,"InorganicN",0.466
"189","05427880",2017-08-03,"InorganicN",0.496
"190","05427880",2017-08-04,"InorganicN",0.504
"191","05427880",2017-08-05,"InorganicN",0.51
"192","05427880",2017-08-06,"InorganicN",0.516
"193","05427880",2017-08-07,"InorganicN",0.522
"194","05427880",2017-08-08,"InorganicN",0.529
"195","05427880",2017-08-09,"InorganicN",0.535
"196","05427880",2017-08-10,"InorganicN",0.541
"197","05427880",2017-08-11,"InorganicN",0.547
"198","05427880",2017-08-12,"InorganicN",0.553
"199","05427880",2017-08-13,"InorganicN",0.559
"200","05427880",2017-08-14,"InorganicN",0.565
"201","05427880",2017-08-15,"InorganicN",0.573
"202","05427880",2017-08-16,"InorganicN",0.587
"203","05427880",2017-08-17,"InorganicN",0.601
"204","05427880",2017-08-18,"InorganicN",0.615
"205","05427880",2017-08-19,"InorganicN",0.629
"206","05427880",2017-08-20,"InorganicN",0.643
"207","05427880",2017-08-21,"InorganicN",0.658
"208","05427880",2017-08-22,"InorganicN",0.672
"209","05427880",2017-08-23,"InorganicN",0.686
"210","05427880",2017-08-24,"InorganicN",0.7
"211","05427880",2017-08-25,"InorganicN",0.714
"212","05427880",2017-08-26,"InorganicN",0.728
"213","05427880",2017-08-27,"InorganicN",0.742
"214","05427880",2017-08-28,"InorganicN",0.757
"215","05427880",2017-08-29,"InorganicN",0.771
"216","05427880",2017-08-30,"InorganicN",0.785
"217","05427880",2017-08-31,"InorganicN",0.799
"218","05427927",2017-08-01,"InorganicN",9.27
"219","05427927",2017-08-02,"InorganicN",9.29
"220","05427927",2017-08-03,"InorganicN",9.31
"221","05427927",2017-08-04,"InorganicN",9.33
"222","05427927",2017-08-05,"InorganicN",9.35
"223","05427927",2017-08-06,"InorganicN",9.37
"224","05427927",2017-08-07,"InorganicN",9.39
"225","05427927",2017-08-08,"InorganicN",9.41
"226","05427927",2017-08-09,"InorganicN",9.43
"227","05427927",2017-08-10,"InorganicN",9.45
"228","05427927",2017-08-11,"InorganicN",9.47
"229","05427927",2017-08-12,"InorganicN",9.49
"230","05427927",2017-08-13,"InorganicN",9.51
"231","05427927",2017-08-14,"InorganicN",9.53
"232","05427927",2017-08-15,"InorganicN",9.55
"233","05427927",2017-08-16,"InorganicN",9.57
"234","05427927",2017-08-17,"InorganicN",9.59
"235","05427927",2017-08-18,"InorganicN",9.61
"236","05427927",2017-08-19,"InorganicN",9.63
"237","05427927",2017-08-20,"InorganicN",9.65
"238","05427927",2017-08-21,"InorganicN",9.67
"239","05427927",2017-08-22,"InorganicN",9.69
"240","05427927",2017-08-23,"InorganicN",9.7
"241","05427927",2017-08-24,"InorganicN",9.72
"242","05427927",2017-08-25,"InorganicN",9.74
"243","05427927",2017-08-26,"InorganicN",9.76
"244","05427927",2017-08-27,"InorganicN",9.78
"245","05427927",2017-08-28,"InorganicN",9.8
"246","05427927",2017-08-29,"InorganicN",9.82
"247","05427927",2017-08-30,"InorganicN",9.84
"248","05427927",2017-08-31,"InorganicN",9.86
"249","05430175",2017-08-01,"InorganicN",2.13
"250","05430175",2017-08-02,"InorganicN",2.14
"251","05430175",2017-08-03,"InorganicN",2.16
"252","05430175",2017-08-04,"InorganicN",2.17
"253","05430175",2017-08-05,"InorganicN",2.19
"254","05430175",2017-08-06,"InorganicN",2.2
"255","05430175",2017-08-07,"InorganicN",2.07
"256","05430175",2017-08-08,"InorganicN",2.14
"257","05430175",2017-08-09,"InorganicN",2.2
"258","05430175",2017-08-10,"InorganicN",2.25
"259","05430175",2017-08-11,"InorganicN",2.31
"260","05430175",2017-08-12,"InorganicN",2.36
"261","05430175",2017-08-13,"InorganicN",2.41
"262","05430175",2017-08-14,"InorganicN",2.46
"263","05430175",2017-08-15,"InorganicN",2.51
"264","05430175",2017-08-16,"InorganicN",2.5
"265","05430175",2017-08-17,"InorganicN",2.3
"266","05430175",2017-08-18,"InorganicN",2.41
"267","05430175",2017-08-19,"InorganicN",2.53
"268","05430175",2017-08-20,"InorganicN",2.64
"269","05430175",2017-08-21,"InorganicN",2.74
"270","05430175",2017-08-22,"InorganicN",2.77
"271","05430175",2017-08-23,"InorganicN",2.79
"272","05430175",2017-08-24,"InorganicN",2.8
"273","05430175",2017-08-25,"InorganicN",2.81
"274","05430175",2017-08-26,"InorganicN",2.82
"275","05430175",2017-08-27,"InorganicN",2.84
"276","05430175",2017-08-28,"InorganicN",2.85
"277","05430175",2017-08-29,"InorganicN",2.86
"278","05430175",2017-08-30,"InorganicN",2.88
"279","05430175",2017-08-31,"InorganicN",2.89
